,location,total_sqft,bath,price,bhk
2268,Electronic City Phase Ii,1252.0,2.0,67.0,2
2270,Electronic City Phase Ii,1125.0,2.0,32.63,2
2271,Electronic City Phase Ii,1140.0,2.0,34.0,2
2275,Electronic City Phase Ii,1135.0,2.0,46.0,2
2276,Electronic City Phase Ii,1305.0,3.0,65.0,3
2277,Electronic City Phase Ii,1165.0,2.0,33.64,2
2279,Electronic City Phase Ii,1336.0,2.0,50.35,3
2280,Electronic City Phase Ii,575.0,1.0,16.75,1
2281,Electronic City Phase Ii,925.0,2.0,49.82,3
2282,Electronic City Phase Ii,1065.0,2.0,30.76,2
2285,Electronic City Phase Ii,911.0,2.0,26.5,2
2287,Electronic City Phase Ii,1031.0,2.0,54.48,2
2291,Electronics City Phase 1,1475.0,3.0,78.29,3
2292,Electronics City Phase 1,1490.0,3.0,78.8,3
2293,Electronics City Phase 1,1113.27,2.0,53.0,2
2294,Electronics City Phase 1,1490.0,3.0,84.0,3
2301,Electronics City Phase 1,1015.0,2.0,56.0,2
2303,Electronics City Phase 1,1515.0,2.0,80.91,3
2304,Electronics City Phase 1,995.0,2.0,46.0,2
2305,Electronics City Phase 1,1555.0,2.0,82.0,3
2306,Electronics City Phase 1,1340.0,2.0,75.0,2
2307,Electronics City Phase 1,1124.0,2.0,55.0,3
2308,Electronics City Phase 1,1175.0,2.0,57.0,2
2309,Electronics City Phase 1,755.0,1.0,42.41,1
2310,Electronics City Phase 1,580.0,1.0,27.0,1
2311,Electronics City Phase 1,940.0,2.0,49.0,2
2312,Electronics City Phase 1,1335.0,2.0,67.0,2
2313,Electronics City Phase 1,1113.12,2.0,55.0,2
2315,Electronics City Phase 1,1350.0,3.0,71.0,3
2317,Electronics City Phase 1,995.0,2.0,49.8,2
2318,Electronics City Phase 1,635.0,1.0,26.0,1
2319,Electronics City Phase 1,1190.0,2.0,68.0,2
2321,Electronics City Phase 1,1450.0,3.0,72.54,3
2322,Electronics City Phase 1,360.0,1.0,16.9,1
2323,Electronics City Phase 1,638.0,1.0,32.0,1
2324,Electronics City Phase 1,1175.0,2.0,64.98,2
2325,Electronics City Phase 1,585.0,1.0,21.0,1
2326,Electronics City Phase 1,1200.0,2.0,59.76,2
2327,Electronics City Phase 1,1145.0,2.0,54.0,2
2328,Electronics City Phase 1,1125.0,2.0,65.0,2
2329,Electronics City Phase 1,1550.0,2.0,82.0,3
2331,Electronics City Phase 1,865.0,2.0,40.0,2
2335,Electronics City Phase 1,1800.0,3.0,93.0,3
2336,Electronics City Phase 1,1314.0,2.0,60.0,2
2337,Electronics City Phase 1,1170.0,2.0,62.0,2
2338,Electronics City Phase 1,1450.0,3.0,79.0,3
2339,Electronics City Phase 1,940.0,2.0,48.0,2
2340,Electronics City Phase 1,940.0,2.0,44.0,2
2341,Electronics City Phase 1,1300.0,2.0,67.0,2
2342,Electronics City Phase 1,1028.0,2.0,51.0,2
2344,Electronics City Phase 1,1205.0,2.0,60.0,2
2346,Electronics City Phase 1,1305.0,2.0,67.0,2
2347,Electronics City Phase 1,755.0,1.0,30.12,1
2348,Electronics City Phase 1,1175.0,2.0,60.0,2
2349,Epip Zone,1499.0,5.0,102.0,3
2350,Epip Zone,1285.0,2.0,82.0,2
2351,Epip Zone,2330.0,3.0,162.0,3
2352,Epip Zone,1330.0,2.0,92.5,2
2353,Epip Zone,1330.0,2.0,86.98,2
2354,Epip Zone,1330.0,2.0,93.36,2
2356,Epip Zone,1500.0,3.0,102.0,3
2357,Epip Zone,1280.0,2.0,69.0,2
2358,Epip Zone,1125.0,2.0,65.0,2
2359,Epip Zone,1734.0,3.0,125.0,3
2361,Epip Zone,1343.0,2.0,86.0,2
2362,Epip Zone,2350.0,4.0,163.0,3
2363,Epip Zone,1860.0,3.0,130.0,3
2364,Epip Zone,2210.0,3.0,165.0,3
2365,Epip Zone,2710.0,3.0,177.0,3
2367,Frazer Town,1700.0,3.0,180.0,3
2368,Frazer Town,1305.0,3.0,95.45,3
2369,Frazer Town,1870.0,3.0,185.0,3
2370,Frazer Town,1750.0,3.0,150.0,3
2372,Frazer Town,2000.0,3.0,200.0,3
2373,Frazer Town,3500.0,4.0,330.0,3
2374,Frazer Town,2350.0,4.0,285.0,3
2375,Frazer Town,1550.0,2.0,140.0,2
2376,Frazer Town,1900.0,4.0,145.0,3
2377,Frazer Town,2560.0,3.0,265.0,3
2378,Frazer Town,2400.0,3.0,260.0,3
2379,Frazer Town,2560.0,3.0,288.0,3
2380,Frazer Town,3436.0,5.0,341.0,4
2382,Frazer Town,1315.0,2.0,140.0,2
2383,Frazer Town,1706.0,3.0,154.0,3
2384,Frazer Town,2079.0,3.0,220.0,3
2385,Frazer Town,3435.0,2.0,341.0,4
2386,Frazer Town,3436.0,5.0,345.0,4
2387,Frazer Town,3100.0,3.0,400.0,3
2388,Frazer Town,5400.0,3.0,400.0,3
2389,Frazer Town,1180.0,2.0,105.0,2
2390,Frazer Town,2900.0,4.0,325.0,4
2391,Frazer Town,1870.0,3.0,180.0,3
2392,Frazer Town,896.0,1.0,100.0,1
2393,Frazer Town,1420.0,2.0,120.0,2
2394,Garudachar Palya,1325.0,2.0,60.8,3
2395,Garudachar Palya,1060.0,2.0,48.7,2
2396,Garudachar Palya,1150.0,2.0,52.75,2
2397,Garudachar Palya,1295.0,2.0,59.5,3
2398,Garudachar Palya,1320.0,2.0,60.6,3
2400,Garudachar Palya,1150.0,2.0,52.8,2
2402,Garudachar Palya,1060.0,2.0,48.5,2
2403,Garudachar Palya,1150.0,2.0,52.5,2
2405,Garudachar Palya,1060.0,2.0,48.66,2
2406,Garudachar Palya,1150.0,2.0,52.0,2
2407,Garudachar Palya,1154.0,2.0,51.8,2
2409,Giri Nagar,2400.0,4.0,400.0,4
2410,Giri Nagar,1800.0,3.0,252.0,3
2411,Giri Nagar,1350.0,3.0,240.0,3
2413,Giri Nagar,3000.0,4.0,375.0,6
2414,Giri Nagar,2400.0,6.0,400.0,6
2415,Giri Nagar,4000.0,3.0,750.0,4
2416,Gm Palaya,1820.0,2.0,86.0,3
2417,Gm Palaya,1225.0,2.0,47.0,2
2418,Gm Palaya,1140.0,2.0,48.95,2
2419,Gm Palaya,1315.0,2.0,65.0,3
2420,Gm Palaya,1315.0,3.0,65.0,3
2421,Gm Palaya,1315.0,3.0,64.0,3
2422,Gm Palaya,1735.0,3.0,70.0,3
2423,Gm Palaya,1643.0,2.0,70.0,3
2424,Gm Palaya,675.0,1.0,35.0,1
2425,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2426,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2428,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2429,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2430,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2431,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2432,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2433,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2434,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2435,Gottigere,1100.0,2.0,40.0,2
2436,Gottigere,967.0,2.0,45.0,2
2437,Gottigere,1618.0,3.0,82.5,3
2438,Gottigere,1222.0,2.0,63.0,2
2440,Gottigere,1300.0,3.0,65.0,3
2441,Gottigere,950.0,2.0,38.0,2
2442,Gottigere,1153.0,2.0,48.5,2
2443,Gottigere,812.0,1.0,26.0,1
2445,Gottigere,1460.0,2.0,65.0,3
2446,Gottigere,1500.0,3.0,70.0,3
2447,Gottigere,1621.0,3.0,72.0,3
2449,Gottigere,990.0,2.0,40.0,2
2450,Gottigere,1235.0,2.0,63.0,2
2451,Gottigere,1385.0,3.0,64.0,3
2452,Gottigere,1000.0,2.0,35.0,2
2453,Gottigere,1010.0,2.0,35.0,2
2455,Gottigere,1410.0,2.0,45.0,2
2457,Gottigere,1435.0,2.0,62.0,3
2458,Gottigere,945.0,2.0,45.0,2
2460,Gottigere,2500.0,3.0,120.0,4
2461,Gottigere,1230.0,2.0,52.0,3
2462,Gottigere,1120.0,2.0,50.0,2
2463,Gottigere,1500.0,3.0,63.0,3
2464,Gottigere,1200.0,2.0,40.0,2
2465,Gottigere,1280.0,2.0,61.0,2
2466,Gottigere,1205.0,2.0,56.58,2
2467,Gottigere,1170.0,2.0,40.0,2
2468,Gottigere,3000.0,3.0,132.0,4
2469,Gottigere,1613.0,3.0,72.0,3
2470,Gottigere,1110.0,2.0,36.25,2
2471,Gottigere,1245.0,2.0,59.0,2
2472,Gottigere,1200.0,2.0,50.0,2
2473,Green Glen Layout,1670.0,3.0,120.0,3
2474,Green Glen Layout,3250.0,4.0,230.0,4
2475,Green Glen Layout,1776.42,3.0,105.0,3
2477,Green Glen Layout,940.0,2.0,56.8,2
2478,Green Glen Layout,1075.0,2.0,60.0,2
2479,Green Glen Layout,1715.0,3.0,115.0,3
2480,Green Glen Layout,1751.0,2.0,115.0,3
2481,Green Glen Layout,1750.0,3.0,130.0,3
2482,Green Glen Layout,1530.0,3.0,105.0,3
2483,Green Glen Layout,1752.0,3.0,105.0,3
2484,Green Glen Layout,1680.0,4.0,95.0,3
2485,Green Glen Layout,1728.0,3.0,125.0,3
2486,Green Glen Layout,1645.0,3.0,110.0,3
2487,Green Glen Layout,1517.0,3.0,100.0,3
2488,Green Glen Layout,3150.0,4.0,218.0,4
2490,Green Glen Layout,1750.0,3.0,120.0,3
2491,Green Glen Layout,1751.0,3.0,115.0,3
2492,Green Glen Layout,1750.0,3.0,105.0,3
2493,Green Glen Layout,1885.0,3.0,135.0,3
2494,Green Glen Layout,1715.0,3.0,120.0,3
2495,Green Glen Layout,1623.29,2.0,105.0,3
2497,Green Glen Layout,1715.0,3.0,105.0,3
2498,Green Glen Layout,1600.0,3.0,105.0,3
2499,Green Glen Layout,1717.0,3.0,125.0,3
2500,Green Glen Layout,1250.0,2.0,75.0,2
2501,Green Glen Layout,1715.0,3.0,112.0,3
2502,Gubbalala,1470.0,2.0,82.0,3
2503,Gubbalala,1745.0,3.0,104.0,3
2504,Gubbalala,1745.0,3.0,115.0,3
2505,Gubbalala,1745.0,3.0,110.0,3
2506,Gubbalala,1650.0,3.0,71.0,3
2507,Gubbalala,2570.0,4.0,141.0,5
2508,Gubbalala,1205.0,2.0,70.0,2
2509,Gubbalala,1435.0,2.0,80.0,3
2510,Gubbalala,1475.0,2.0,80.0,2
2512,Gubbalala,1100.0,2.0,49.5,2
2513,Gubbalala,1060.0,2.0,46.0,2
2514,Gubbalala,2000.0,3.0,125.0,3
2516,Gunjur,1140.0,2.0,43.0,2
2517,Gunjur,1356.0,2.0,66.0,3
2518,Gunjur,1600.0,3.0,75.0,3
2519,Gunjur,2000.0,3.0,95.0,4
2520,Gunjur,1140.0,2.0,49.11,2
2521,Gunjur,1195.0,2.0,44.0,2
2522,Gunjur,1190.0,2.0,40.0,2
2523,Gunjur,1457.0,2.0,60.0,2
2524,Gunjur,1080.0,2.0,41.0,2
2527,Gunjur,1175.0,2.0,43.48,2
2528,Gunjur,1362.0,3.0,62.63,3
2529,Gunjur,1071.0,2.0,51.0,2
2530,Gunjur,1063.0,2.0,40.0,2
2531,Gunjur,1235.0,2.0,52.76,2
2534,Gunjur,1588.0,2.0,90.0,3
2535,Gunjur,1235.0,2.0,44.5,2
2537,Hal 2Nd Stage,1490.0,2.0,300.0,3
2538,Hal 2Nd Stage,2100.0,3.0,252.0,3
2539,Hal 2Nd Stage,600.0,3.0,145.0,2
2540,Hal 2Nd Stage,2700.0,3.0,500.0,3
2541,Hal 2Nd Stage,2040.0,4.0,500.0,5
2542,Haralur Road,1240.0,2.0,70.0,2
2543,Haralur Road,1027.0,2.0,44.0,2
2545,Haralur Road,2650.0,4.0,198.0,4
2547,Haralur Road,1194.0,2.0,47.0,2
2548,Haralur Road,1202.0,2.0,53.0,2
2549,Haralur Road,1056.0,2.0,61.0,2
2551,Haralur Road,1810.0,3.0,100.0,3
2552,Haralur Road,1194.0,2.0,46.0,2
2554,Haralur Road,1225.0,2.0,67.38,2
2555,Haralur Road,1243.0,2.0,46.0,2
2557,Haralur Road,1920.0,3.0,115.0,3
2558,Haralur Road,1875.0,3.0,110.0,3
2560,Haralur Road,1140.0,2.0,43.0,2
2563,Haralur Road,2017.0,3.0,125.0,3
2566,Haralur Road,1092.0,2.0,44.0,2
2567,Haralur Road,2475.0,4.0,130.0,3
2568,Haralur Road,1300.0,2.0,73.0,2
2571,Haralur Road,1850.0,3.0,110.0,3
2574,Haralur Road,3400.0,5.0,240.0,4
2575,Haralur Road,1464.0,2.0,56.0,2
2576,Haralur Road,1230.0,2.0,78.0,2
2577,Haralur Road,1000.0,2.0,44.0,2
2578,Haralur Road,1300.0,2.0,79.0,2
2579,Haralur Road,1444.0,2.0,80.0,3
2580,Haralur Road,1088.0,2.0,68.0,2
2583,Haralur Road,1225.0,2.0,70.0,2
2586,Haralur Road,1830.0,3.0,101.0,3
2587,Haralur Road,1810.0,3.0,126.0,3
2589,Haralur Road,1520.0,2.0,96.0,3
2590,Haralur Road,1300.0,2.0,75.0,2
2591,Haralur Road,2017.0,2.0,125.0,3
2594,Haralur Road,2805.0,5.0,160.0,4
2597,Haralur Road,2017.0,3.0,105.0,3
2600,Haralur Road,1520.0,2.0,90.0,3
2601,Haralur Road,1300.0,2.0,60.0,2
2602,Haralur Road,1985.0,3.0,130.0,3
2603,Haralur Road,1255.0,2.0,90.0,3
2604,Haralur Road,1056.0,2.0,60.0,2
2605,Haralur Road,1140.0,2.0,42.0,2
2606,Haralur Road,1245.0,2.0,62.0,2
2607,Haralur Road,1140.0,2.0,58.0,2
2609,Haralur Road,1027.0,2.0,43.0,2
2612,Haralur Road,1560.0,3.0,90.0,3
2613,Haralur Road,1520.0,2.0,85.0,3
2614,Haralur Road,1243.0,2.0,45.0,2
2617,Haralur Road,1650.0,3.0,100.0,3
2618,Haralur Road,1580.0,3.0,73.0,3
2623,Haralur Road,1510.0,3.0,83.05,3
2624,Haralur Road,1056.0,2.0,65.0,2
2627,Haralur Road,575.0,1.0,38.0,1
2632,Haralur Road,1850.0,3.0,120.0,3
2637,Haralur Road,1710.0,3.0,85.0,3
2638,Haralur Road,1730.0,3.0,95.0,3
2642,Haralur Road,1817.0,3.0,110.0,3
2643,Haralur Road,1225.0,2.0,77.0,2
2644,Haralur Road,1285.0,2.0,78.0,2
2645,Haralur Road,1225.0,2.0,67.48,2
2646,Haralur Road,1225.0,2.0,69.84,2
2647,Haralur Road,1200.0,2.0,46.0,2
2648,Haralur Road,1315.0,2.0,85.0,2
2649,Haralur Road,1976.0,3.0,92.0,3
2651,Haralur Road,1309.0,2.0,82.0,2
2652,Haralur Road,1027.0,1.0,44.0,2
2658,Haralur Road,1890.0,3.0,84.0,3
2659,Haralur Road,1230.0,2.0,67.65,2
2663,Haralur Road,1255.0,3.0,90.0,3
2664,Haralur Road,1735.0,3.0,97.0,3
2665,Haralur Road,1810.0,3.0,97.83,3
2668,Haralur Road,1810.0,3.0,112.0,3
2669,Harlur,1508.0,2.0,77.0,2
2670,Harlur,1752.12,3.0,135.0,3
2673,Harlur,1709.0,3.0,150.0,3
2674,Harlur,1174.0,2.0,69.0,2
2675,Harlur,1033.0,2.0,49.0,2
2676,Harlur,1197.0,2.0,84.0,2
2677,Harlur,1757.0,3.0,132.0,3
2678,Harlur,1174.0,2.0,76.0,2
2679,Harlur,1754.0,3.0,125.0,3
2680,Harlur,1290.0,2.0,85.0,2
2681,Harlur,1752.12,3.0,116.0,3
2682,Harlur,1754.0,3.0,135.0,3
2683,Harlur,1754.0,3.0,124.0,3
2684,Harlur,1152.0,2.0,69.0,2
2685,Harlur,1290.0,2.0,87.0,2
2686,Harlur,1749.0,3.0,115.0,3
2687,Harlur,3385.0,4.0,260.0,4
2688,Harlur,2240.0,5.0,155.0,3
2689,Harlur,1758.0,3.0,133.0,3
2691,Harlur,1197.0,2.0,79.0,2
2692,Harlur,1174.0,2.0,78.0,2
2695,Harlur,1200.0,2.0,52.0,2
2697,Harlur,1749.0,3.0,112.0,3
2698,Harlur,1174.0,2.0,75.0,2
2699,Harlur,1750.0,3.0,136.0,3
2700,Harlur,1620.0,3.0,110.0,3
2703,Harlur,1762.0,3.0,133.0,3
2704,Harlur,1756.0,3.0,131.0,3
2705,Harlur,1755.0,3.0,130.0,3
2706,Harlur,1864.0,3.0,140.0,3
2707,Harlur,1331.0,2.0,88.0,2
2708,Harlur,1752.12,3.0,133.0,3
2709,Harlur,1133.0,2.0,55.0,2
2710,Harlur,1756.0,3.0,128.0,3
2711,Harlur,1749.0,3.0,120.0,3
2712,Harlur,1197.0,2.0,82.0,2
2713,Harlur,1303.0,2.0,90.0,2
2714,Harlur,1754.0,3.0,132.0,3
2716,Harlur,1756.0,3.0,134.0,3
2717,Harlur,1197.0,2.0,78.0,2
2718,Harlur,1290.0,2.0,89.9,2
2719,Harlur,1386.0,2.0,85.0,2
2720,Harlur,1174.0,2.0,74.0,2
2723,Harlur,1755.0,3.0,115.0,3
2725,Harlur,2569.0,4.0,175.0,4
2727,Harlur,1197.0,2.0,77.0,2
2728,Harlur,1752.12,3.0,125.0,3
2729,Harlur,2569.0,5.0,180.0,4
2730,Harlur,1225.0,2.0,56.0,2
2731,Harlur,1197.0,2.0,76.0,2
2733,Harlur,1197.0,2.0,75.0,2
2734,Harlur,1755.0,3.0,117.0,3
2735,Harlur,1197.0,2.0,79.9,2
2736,Harlur,936.0,2.0,45.0,2
2737,Harlur,2990.0,4.0,225.0,4
2738,Harlur,1370.0,2.0,88.0,2
2739,Harlur,1335.0,2.0,72.76,2
2740,Hbr Layout,2800.0,2.0,200.0,3
2742,Hbr Layout,1200.0,4.0,120.0,4
2743,Hbr Layout,1200.0,2.0,60.0,2
2744,Hbr Layout,1004.0,2.0,49.0,2
2745,Hbr Layout,1783.0,3.0,125.0,3
2747,Hbr Layout,1089.0,2.0,60.0,2
2748,Hbr Layout,1700.0,3.0,110.0,3
2749,Hbr Layout,1198.0,2.0,65.0,2
2750,Hbr Layout,1200.0,4.0,115.0,4
2751,Hbr Layout,1200.0,2.0,120.0,2
2752,Hbr Layout,1832.0,3.0,160.0,3
2753,Hebbal,1760.0,2.0,123.0,3
2754,Hebbal,5611.5,4.0,477.0,4
2756,Hebbal,1349.0,2.0,98.2,2
2757,Hebbal,2483.0,5.0,212.0,4
2758,Hebbal,1760.0,2.0,130.0,3
2759,Hebbal,3450.0,5.0,260.0,3
2760,Hebbal,1920.0,3.0,134.0,3
2761,Hebbal,1337.0,2.0,82.0,2
2762,Hebbal,1349.0,2.0,98.0,2
2763,Hebbal,1036.0,2.0,50.0,2
2766,Hebbal,1790.0,3.0,127.0,3
2767,Hebbal,687.325,2.0,42.72,2
2768,Hebbal,2790.0,5.0,198.0,4
2769,Hebbal,1985.0,4.0,189.0,3
2770,Hebbal,2483.0,5.0,215.0,4
2771,Hebbal,1080.0,2.0,54.0,2
2772,Hebbal,812.0,2.0,55.0,2
2773,Hebbal,2790.0,4.0,198.0,4
2774,Hebbal,1075.0,2.0,52.0,2
2775,Hebbal,3067.0,4.0,230.0,4
2776,Hebbal,2526.0,2.0,250.0,3
2779,Hebbal,823.0,2.0,50.63,2
2780,Hebbal,1420.0,2.0,123.0,2
2782,Hebbal,1420.0,2.0,99.39,2
2783,Hebbal,4235.0,4.0,365.0,4
2784,Hebbal,1700.0,3.0,124.0,3
2785,Hebbal,3960.0,5.0,386.0,4
2789,Hebbal,1440.0,2.0,115.0,2
2790,Hebbal,1100.0,2.0,54.0,2
2792,Hebbal,2400.0,4.0,180.0,3
2794,Hebbal,1420.0,2.0,107.0,2
2795,Hebbal,1320.0,2.0,92.0,2
2796,Hebbal,919.0,2.0,49.0,2
2797,Hebbal,1645.0,3.0,135.0,3
2798,Hebbal,2080.0,3.0,175.0,3
2800,Hebbal,2483.0,5.0,230.0,4
2801,Hebbal,2600.0,3.0,195.0,3
2802,Hebbal,1645.0,3.0,117.0,3
2803,Hebbal,1251.0,2.0,88.73,2
2804,Hebbal,1645.0,3.0,121.0,3
2805,Hebbal,1760.0,3.0,123.0,3
2808,Hebbal,1645.0,3.0,120.0,3
2809,Hebbal,1255.0,2.0,90.0,3
2813,Hebbal,1636.0,3.0,119.0,3
2814,Hebbal,1255.0,2.0,95.0,3
2818,Hebbal,1088.0,2.0,61.45,2
2819,Hebbal,1349.0,2.0,97.8,2
2821,Hebbal,1344.0,2.0,108.0,2
2824,Hebbal,1138.0,2.0,110.0,2
2825,Hebbal,2790.0,5.0,204.0,4
2826,Hebbal,1088.0,2.0,62.0,2
2827,Hebbal,1987.0,4.0,165.0,3
2829,Hebbal,1299.0,2.0,100.0,2
2830,Hebbal,1200.0,2.0,60.0,2
2832,Hebbal,1390.0,2.0,95.0,2
2833,Hebbal,1333.0,2.0,100.0,2
2835,Hebbal,2650.0,4.0,199.0,3
2836,Hebbal,1800.0,3.0,140.0,3
2838,Hebbal,2470.0,4.0,203.0,4
2840,Hebbal,1333.0,2.0,104.0,2
2842,Hebbal,2600.0,3.0,199.0,3
2843,Hebbal,1345.0,2.0,97.0,2
2845,Hebbal,985.0,2.0,62.0,2
2846,Hebbal,1320.0,2.0,91.0,2
2847,Hebbal,2388.0,3.0,195.0,3
2848,Hebbal,1040.0,2.0,55.0,2
2852,Hebbal,2630.0,5.0,188.0,4
2854,Hebbal,1645.0,3.0,113.0,3
2858,Hebbal,3520.0,5.0,320.0,3
2859,Hebbal,1162.0,2.0,69.0,2
2860,Hebbal,1100.0,2.0,60.0,2
2861,Hebbal,4235.0,5.0,364.0,4
2862,Hebbal,1299.0,2.0,97.0,2
2864,Hebbal,2470.0,5.0,192.0,4
2867,Hebbal,3520.0,5.0,240.0,3
2868,Hebbal,1920.0,3.0,150.0,3
2869,Hebbal,2375.0,4.0,189.0,4
2870,Hebbal,1420.0,2.0,99.26,2
2871,Hebbal,1252.0,2.0,92.0,2
2873,Hebbal,1162.0,2.0,59.0,2
2874,Hebbal,1294.0,2.0,115.0,2
2875,Hebbal,4225.0,6.0,359.0,4
2876,Hebbal,1150.0,2.0,57.0,2
2877,Hebbal,1740.0,2.0,137.0,3
2879,Hebbal,1662.0,3.0,155.0,3
2880,Hebbal,2250.0,3.0,219.0,3
2882,Hebbal,4000.0,6.0,370.0,4
2883,Hebbal,1349.0,2.0,96.8,2
2884,Hebbal Kempapura,1700.0,3.0,155.0,3
2885,Hebbal Kempapura,1800.0,3.0,175.0,3
2886,Hebbal Kempapura,2900.0,4.0,300.0,3
2887,Hebbal Kempapura,3522.0,3.0,380.0,3
2888,Hebbal Kempapura,2280.0,5.0,200.0,5
2889,Hebbal Kempapura,1200.0,2.0,125.0,2
2890,Hebbal Kempapura,2900.0,4.0,240.0,3
2892,Hebbal Kempapura,1300.0,2.0,102.0,2
2893,Hebbal Kempapura,1466.0,2.0,140.0,3
2895,Hebbal Kempapura,1725.0,2.0,165.0,3
2896,Hebbal Kempapura,1200.0,3.0,125.0,3
2897,Hebbal Kempapura,3408.0,3.0,260.0,3
2898,Hebbal Kempapura,1485.0,3.0,132.0,2
2899,Hebbal Kempapura,1400.0,2.0,108.0,2
2900,Hebbal Kempapura,1800.0,3.0,150.0,3
2901,Hebbal Kempapura,2400.0,5.0,200.0,5
2902,Hebbal Kempapura,2800.0,5.0,220.0,5
2903,Hebbal Kempapura,1785.0,3.0,165.0,3
2904,Hebbal Kempapura,3729.0,4.0,384.0,4
2905,Hebbal Kempapura,1600.0,3.0,170.0,3
2906,Hebbal Kempapura,1730.0,3.0,175.0,3
2908,Hegde Nagar,1569.0,3.0,101.0,3
2909,Hegde Nagar,3000.0,7.0,210.0,6
2910,Hegde Nagar,2026.0,3.0,132.0,3
2911,Hegde Nagar,1801.0,3.0,115.0,3
2912,Hegde Nagar,1050.0,1.0,56.0,2
2913,Hegde Nagar,1341.0,2.0,97.0,2
2914,Hegde Nagar,2112.95,4.0,145.0,3
2915,Hegde Nagar,1200.0,4.0,83.0,4
2916,Hegde Nagar,1703.0,3.0,113.0,3
2917,Hegde Nagar,1570.0,3.0,105.0,3
2918,Hegde Nagar,1801.0,3.0,140.0,3
2919,Hegde Nagar,1584.01,3.0,103.0,3
2920,Hegde Nagar,1965.0,4.0,125.0,3
2921,Hegde Nagar,1200.0,2.0,75.0,2
2922,Hegde Nagar,1847.0,3.0,135.0,3
2923,Hegde Nagar,1965.0,4.0,132.0,3
2924,Hegde Nagar,1703.0,3.0,125.0,3
2925,Hegde Nagar,1847.0,3.0,125.0,3
2926,Hegde Nagar,2144.6,4.0,145.0,3
2927,Hegde Nagar,1718.0,3.0,119.0,3
2928,Hegde Nagar,1847.0,3.0,123.0,3
2929,Hegde Nagar,1340.0,2.0,72.0,2
2931,Hegde Nagar,1703.0,3.0,130.0,3
2932,Hegde Nagar,2087.01,4.0,135.0,3
2933,Hegde Nagar,1718.0,3.0,130.0,3
2934,Hegde Nagar,1884.0,4.0,118.0,3
2935,Hegde Nagar,1930.0,4.0,122.0,3
2936,Hegde Nagar,1584.01,3.0,104.0,3
2939,Hegde Nagar,2087.01,4.0,160.0,3
2940,Hegde Nagar,1000.0,2.0,66.0,2
2942,Hennur,1075.0,2.0,52.0,2
2943,Hennur,1255.0,2.0,52.32,2
2944,Hennur,1225.0,2.0,57.0,2
2945,Hennur,1255.0,2.0,57.5,2
2946,Hennur,1259.0,2.0,57.0,2
2947,Hennur,1255.0,2.0,53.5,2
2948,Hennur,1285.0,2.0,60.0,2
2950,Hennur,1100.0,2.0,60.0,2
2951,Hennur,1231.0,2.0,48.0,2
2952,Hennur,1255.0,2.0,58.0,2
2953,Hennur,1040.0,2.0,42.12,2
2954,Hennur,1255.0,2.0,54.5,2
2955,Hennur,1041.0,2.0,40.6,2
2957,Hennur,1255.0,2.0,55.5,2
2959,Hennur,1231.0,2.0,50.0,2
2960,Hennur,2500.0,5.0,125.0,5
2961,Hennur,1160.0,2.0,49.0,2
2962,Hennur,2400.0,3.0,135.0,3
2965,Hennur,1100.0,2.0,44.55,2
2967,Hennur,960.0,2.0,48.0,2
2968,Hennur,1020.0,2.0,48.0,2
2970,Hennur,1295.0,2.0,64.0,2
2971,Hennur,1935.0,3.0,102.0,3
2973,Hennur,1345.0,2.0,69.0,3
2975,Hennur,1420.0,2.0,62.0,2
2976,Hennur,1155.0,2.0,54.5,2
2978,Hennur,1255.0,2.0,52.35,2
2981,Hennur,1830.0,2.0,113.0,3
2982,Hennur,1830.5,3.0,84.205,3
2984,Hennur,1255.0,2.0,53.57,2
2985,Hennur,1255.0,2.0,56.5,2
2986,Hennur,1050.0,2.0,42.73,2
2987,Hennur,1295.0,2.0,62.0,2
2988,Hennur Road,2089.0,3.0,140.0,3
2989,Hennur Road,5000.0,8.0,250.0,8
2990,Hennur Road,1385.0,2.0,83.09,2
2991,Hennur Road,1317.5,2.0,63.77,2
2993,Hennur Road,2264.0,3.0,159.0,3
2994,Hennur Road,1157.0,2.0,84.0,2
2995,Hennur Road,1904.0,3.0,120.0,3
2996,Hennur Road,1891.0,3.0,109.0,3
2997,Hennur Road,1561.0,3.0,95.0,3
2999,Hennur Road,2060.0,3.0,149.0,3
3000,Hennur Road,1482.0,2.0,92.0,3
3001,Hennur Road,1232.0,2.0,89.0,2
3002,Hennur Road,1065.0,2.0,42.6,2
3004,Hennur Road,1482.0,2.0,87.0,3
3005,Hennur Road,1891.0,3.0,139.0,3
3006,Hennur Road,1703.0,3.0,101.0,3
3007,Hennur Road,1232.0,2.0,69.61,2
3008,Hennur Road,987.0,2.0,49.0,2
3010,Hennur Road,2160.0,3.0,160.0,3
3012,Hennur Road,1680.0,3.0,99.27,3
3016,Hennur Road,2350.0,3.0,174.0,3
